fact,physical,literal language,positive,knowledge,everyday,n_statements,n_eligible
1,1,1,1,1,1,791,487
0,0,1,0,1,0,646,313
0,0,1,0,1,1,835,174
0,0,1,0,0,1,1767,155
0,0,1,0,0,0,575,154
0,1,1,0,1,0,213,130
1,1,1,0,1,1,278,125
1,0,1,0,1,1,313,114
1,1,1,1,1,0,177,86
1,1,1,1,0,1,258,75
0,1,1,0,1,1,136,70
1,1,1,1,0,0,343,67
0,0,0,0,0,1,236,60
0,0,0,0,0,0,297,50
0,0,0,0,1,0,231,46
1,0,1,0,0,1,351,46
0,1,1,1,1,0,84,32
1,1,1,0,0,1,202,30
1,0,1,1,0,1,126,30
0,0,0,0,1,1,132,30
0,1,1,1,0,0,180,30
1,1,1,0,1,0,104,29
1,1,1,0,0,0,125,16
1,0,1,0,1,0,65,15
0,1,1,1,1,1,31,13
0,1,1,0,0,0,85,5
0,1,0,0,0,0,46,4
1,1,0,0,0,0,62,2
0,1,0,0,1,0,28,2
0,1,1,1,0,1,80,2
1,1,0,1,0,1,54,1
1,1,0,1,0,0,46,1
0,1,1,0,0,1,117,1
0,1,0,1,0,1,16,1
1,0,1,1,1,1,104,0
1,1,0,0,1,0,18,0
1,1,0,0,0,1,46,0
0,0,1,1,1,0,38,0
1,1,0,0,1,1,28,0
1,1,0,1,1,0,10,0
1,1,0,1,1,1,14,0
0,0,0,1,0,1,30,0
0,0,0,1,0,0,54,0
1,0,1,1,1,0,30,0
1,0,0,1,1,1,18,0
1,0,1,1,0,0,50,0
0,0,0,1,1,1,26,0
0,1,0,0,0,1,46,0
0,1,0,0,1,1,20,0
0,1,0,1,0,0,74,0
0,1,0,1,1,0,18,0
0,1,0,1,1,1,16,0
0,0,1,1,0,1,80,0
0,0,1,1,0,0,62,0
1,0,0,0,0,1,40,0
0,0,0,1,1,0,20,0
1,0,0,0,1,0,20,0
1,0,0,0,1,1,22,0
1,0,0,1,0,0,20,0
1,0,0,1,0,1,18,0
1,0,0,1,1,0,0,0
0,0,1,1,1,1,54,0
1,0,1,0,0,0,76,0
1,0,0,0,0,0,28,0
