statementId,fact,physical,literal language,positive,knowledge,everyday
1,1,1,1,1,0,1
2,1,1,1,1,1,0
3,1,0,1,0,0,1
4,1,1,1,1,1,1
5,0,1,1,0,1,1
6,0,1,1,1,0,1
7,0,0,1,0,0,0
8,0,0,1,0,1,1
9,0,0,1,0,1,1
10,1,0,1,1,1,1
11,0,1,1,0,1,1
12,1,1,1,0,0,1
13,1,1,1,0,0,1
14,1,1,1,1,1,1
15,1,1,1,1,0,0
16,0,0,1,0,1,0
17,0,0,1,0,1,1
18,1,1,1,1,1,1
19,1,1,1,1,1,1
20,1,1,1,1,1,1
21,1,0,1,1,0,0
22,0,0,0,1,1,1
23,0,0,1,0,0,0
24,1,0,0,0,1,1
25,0,0,0,0,0,0
26,0,0,0,0,1,0
27,1,1,1,1,0,0
28,1,1,1,0,1,1
29,0,1,0,1,0,0
30,0,0,0,0,1,1
31,0,0,0,0,1,0
32,0,0,0,0,1,0
33,1,1,0,1,0,1
34,0,0,1,1,1,0
35,1,1,1,1,1,1
36,0,0,0,0,1,1
37,0,0,1,0,0,1
38,1,0,0,0,0,0
39,0,0,1,0,0,0
40,1,0,0,1,1,1
41,0,0,0,0,0,1
42,0,0,0,0,1,1
43,0,0,1,0,1,1
44,1,1,1,1,0,0
45,1,0,1,1,1,0
46,1,1,1,0,0,1
47,1,0,1,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,1,1,1,1,1,1
51,1,1,0,1,1,0
52,1,1,1,0,0,0
53,0,0,1,0,1,1
54,0,0,0,0,1,1
55,0,0,0,0,1,0
56,0,0,1,0,1,1
57,1,1,1,1,0,0
58,0,0,0,0,0,1
59,1,1,0,0,0,0
60,0,0,0,0,0,0
61,0,0,1,0,1,1
62,0,0,0,1,0,0
63,0,0,1,0,0,0
64,0,0,1,0,1,1
65,0,0,0,0,1,0
66,1,1,1,1,0,1
67,0,0,0,0,1,0
68,0,0,1,0,0,1
69,0,0,0,1,1,0
70,1,1,1,1,1,1
71,1,0,0,0,0,1
72,0,0,1,0,0,1
73,1,1,1,1,1,1
74,0,0,0,0,1,0
75,0,0,0,1,1,1
76,1,0,1,1,1,1
77,0,0,1,0,0,1
78,0,0,0,0,0,0
79,1,0,1,1,0,1
80,0,0,1,0,0,1
81,0,1,1,0,0,1
82,0,0,0,0,1,0
83,1,1,1,1,0,1
84,0,0,1,0,0,1
85,0,0,1,0,1,1
86,1,0,1,0,1,1
87,0,0,1,0,1,0
88,0,0,1,0,0,1
89,0,0,1,0,1,1
90,0,1,1,0,1,1
91,0,0,1,1,1,1
92,1,1,1,1,0,1
93,0,0,1,0,1,1
94,1,0,0,0,1,1
95,1,0,1,0,1,1
96,1,0,1,0,1,1
97,0,0,1,0,1,0
98,0,0,1,0,0,1
99,0,0,1,0,1,1
100,0,0,1,0,0,1
101,1,0,1,0,0,1
102,0,1,0,0,1,1
103,0,0,1,0,1,1
104,0,0,1,0,1,0
105,0,0,1,0,1,1
106,0,0,1,0,1,1
107,0,0,1,0,0,1
108,0,0,1,0,0,1
109,0,0,1,0,0,1
110,0,0,1,0,1,1
111,0,0,1,0,1,1
112,0,0,1,0,0,0
113,0,0,0,0,0,1
114,1,1,1,0,0,1
115,1,0,1,0,1,1
116,0,0,0,0,0,0
117,0,0,1,0,0,0
118,0,0,1,0,0,1
119,0,0,1,0,1,1
120,0,0,1,0,1,0
121,0,0,1,0,1,1
122,1,0,1,1,1,0
123,1,0,1,0,0,1
124,0,0,1,0,1,1
125,0,0,1,0,1,1
126,0,0,1,0,0,1
127,1,0,1,1,0,1
128,1,0,1,1,0,1
129,1,1,1,1,0,0
130,1,1,0,0,0,1
131,1,1,1,1,0,1
132,0,0,1,0,1,1
133,0,0,0,0,0,1
134,0,0,0,1,0,0
135,0,0,0,0,1,0
136,1,1,0,1,0,0
137,0,0,1,0,1,1
138,1,1,1,0,1,1
139,0,0,0,0,1,1
140,1,0,1,0,0,1
141,1,1,0,1,0,0
142,1,1,1,0,0,1
143,0,0,0,0,0,0
144,1,1,1,1,1,1
145,0,1,1,1,0,1
146,1,1,1,1,0,1
147,1,1,1,1,1,1
148,0,0,1,0,0,1
149,1,1,0,0,0,0
150,1,0,1,0,0,0
151,0,0,0,0,0,0
152,1,1,1,1,1,0
153,1,1,1,0,1,0
154,0,0,0,1,0,0
155,0,0,1,0,0,0
156,0,0,1,1,0,0
157,0,0,1,0,0,0
158,0,0,1,0,1,0
159,0,1,0,1,0,0
160,0,0,1,0,1,1
161,0,0,1,0,0,1
162,0,0,0,0,0,1
163,0,0,1,0,1,0
164,1,1,1,1,1,0
165,0,0,1,0,1,0
166,1,1,1,1,0,0
167,0,0,1,0,0,1
168,0,1,1,0,1,0
169,0,0,0,0,1,0
170,0,0,1,0,0,0
171,0,0,1,0,1,0
172,1,1,1,0,1,1
173,0,0,0,0,0,0
174,0,0,0,0,0,1
175,1,0,1,0,1,1
176,0,0,1,0,1,1
177,1,1,1,0,1,1
178,1,0,1,1,1,1
179,0,0,0,0,0,1
180,0,0,1,0,0,0
181,0,0,1,0,1,1
182,0,0,1,0,1,0
183,0,0,0,1,1,0
184,0,0,0,0,0,0
185,1,1,0,1,0,1
186,1,1,1,1,1,0
187,0,0,0,0,0,1
188,0,0,0,1,0,0
189,1,1,1,1,1,1
190,1,1,1,0,1,1
191,1,1,1,1,1,1
192,1,1,1,1,1,1
193,0,1,1,1,0,0
194,0,1,1,1,0,0
195,0,0,0,0,1,0
196,0,0,0,1,1,0
197,1,1,1,1,1,0
198,1,0,1,1,0,0
199,1,0,1,1,0,0
200,0,0,1,0,0,0
201,0,1,1,0,0,0
202,0,1,1,1,0,0
203,0,0,1,0,1,0
204,0,0,0,1,0,0
205,0,0,1,0,1,0
206,1,1,1,1,0,0
207,0,0,1,0,0,0
208,0,0,1,1,0,0
209,1,0,1,0,0,0
210,1,1,0,1,0,1
211,1,0,1,1,0,0
212,0,0,1,0,1,0
213,0,0,1,0,1,1
214,0,0,1,0,0,1
215,0,0,1,1,1,0
216,0,0,1,0,1,0
217,0,0,1,0,0,0
218,0,0,1,0,1,0
219,0,0,1,0,0,1
220,0,0,1,0,1,1
221,0,0,1,0,0,1
222,0,0,1,0,0,1
223,0,0,1,0,0,1
224,0,0,1,0,0,1
225,0,0,1,0,0,0
226,1,1,1,1,1,0
227,0,0,1,0,1,0
228,0,1,0,0,0,0
229,1,1,1,0,0,0
230,1,1,1,1,0,0
231,1,1,1,1,0,0
232,0,0,0,0,1,0
233,1,0,1,0,0,1
234,1,1,1,0,1,1
235,0,0,0,0,0,0
236,0,1,1,1,0,0
237,1,1,1,1,0,0
238,1,1,1,1,0,0
239,0,0,1,0,1,1
240,0,0,1,0,0,0
241,0,0,0,0,0,0
242,1,0,1,0,0,1
243,0,1,0,0,0,1
244,0,1,0,1,0,1
245,1,1,1,1,1,1
246,0,0,0,0,1,0
247,0,0,1,0,0,1
248,0,0,0,0,1,1
249,1,1,1,0,1,1
250,0,0,0,1,1,1
251,1,1,1,1,1,0
252,0,1,1,1,0,0
253,1,1,1,1,1,0
254,0,0,0,0,0,1
255,0,0,1,0,0,1
256,0,0,1,0,1,1
257,0,0,0,1,0,0
258,0,0,0,0,1,0
259,0,0,1,0,1,0
260,1,1,1,1,1,1
261,0,0,0,0,1,0
262,1,0,0,0,1,0
263,0,1,1,1,0,0
264,0,0,1,1,0,0
265,1,0,0,1,1,1
266,1,1,1,1,1,1
267,0,0,1,0,0,0
268,1,1,1,0,0,1
269,0,0,0,0,0,0
270,1,1,1,1,1,1
271,0,0,1,0,1,0
272,1,0,1,0,1,1
273,1,1,1,1,1,1
274,0,0,0,0,1,1
275,0,0,1,0,1,1
276,0,0,0,0,1,0
277,0,0,1,0,1,1
278,0,0,0,0,0,0
279,0,0,0,0,1,1
280,0,0,0,0,0,1
281,1,1,1,0,1,1
282,0,1,0,0,0,1
283,0,0,1,0,0,1
284,0,1,1,0,0,1
285,0,0,0,0,0,1
286,1,0,1,1,0,1
287,0,1,1,1,0,1
288,1,1,1,0,0,1
289,0,0,1,0,0,1
290,0,0,0,0,1,1
291,1,1,1,0,0,1
292,0,0,1,0,1,1
293,0,1,1,0,0,1
294,0,0,1,0,0,1
295,0,0,1,0,0,1
296,0,0,1,0,0,1
297,0,0,1,0,1,1
298,1,1,1,0,0,0
299,0,0,1,0,0,1
300,0,1,1,1,0,1
301,1,1,1,0,1,0
302,0,1,1,0,0,1
303,1,1,1,1,1,1
304,1,1,1,0,1,1
305,1,1,1,1,1,1
306,1,0,0,0,0,1
307,0,0,0,0,0,1
308,0,0,0,0,1,1
309,0,1,1,1,0,0
310,1,1,1,0,0,1
311,1,1,1,1,0,1
312,0,0,1,0,0,0
313,1,1,1,0,1,1
314,0,0,1,0,0,1
315,0,1,0,1,0,0
316,0,0,0,1,0,0
317,0,0,1,0,0,1
318,0,0,1,1,1,1
319,0,1,1,1,1,0
320,1,0,0,1,0,0
321,1,1,1,0,1,1
322,1,0,1,1,1,1
323,0,1,0,1,0,0
324,1,0,1,0,0,1
325,1,1,0,0,0,0
326,0,0,1,1,1,0
327,1,1,0,1,0,1
328,1,0,1,0,0,1
329,1,1,1,1,0,1
330,0,0,1,0,1,0
331,0,0,0,1,0,0
332,1,1,1,1,1,0
333,1,1,1,0,1,1
334,0,0,1,0,0,0
335,0,1,1,1,1,0
336,1,1,1,1,0,0
337,0,0,1,0,0,1
338,1,1,1,1,1,1
339,1,1,1,1,0,0
340,1,1,1,1,0,0
341,0,0,1,0,1,1
342,1,0,1,0,1,1
343,1,1,1,1,1,1
344,1,1,0,1,0,0
345,0,0,1,0,0,0
346,1,1,1,1,1,1
347,1,0,1,1,1,0
348,0,0,1,0,0,1
349,0,0,1,0,0,0
350,0,0,1,0,0,0
351,0,0,0,0,0,1
352,1,1,1,1,0,0
353,1,1,1,0,0,1
354,0,0,1,0,1,0
355,1,1,1,1,1,1
356,0,0,0,0,1,0
357,1,0,1,0,1,1
358,0,1,1,1,0,0
359,0,0,1,0,1,1
360,0,0,1,0,1,1
361,1,0,1,1,0,0
362,1,1,1,1,1,1
363,1,0,1,0,1,1
364,0,0,1,0,0,1
365,0,0,1,0,1,0
366,1,1,1,1,1,0
367,0,1,1,0,1,0
368,0,0,0,0,0,1
369,1,0,1,0,0,0
370,1,0,1,1,0,1
371,0,1,1,1,0,0
372,1,0,1,0,1,0
373,1,1,1,1,1,1
374,1,1,1,1,1,0
375,1,1,1,1,1,1
376,1,1,1,1,0,1
377,0,1,1,1,0,1
378,0,0,0,0,0,0
379,1,1,1,0,0,0
380,0,0,0,0,0,0
381,1,1,1,0,1,1
382,1,1,1,0,0,1
383,0,1,1,0,1,0
384,1,0,1,1,1,1
385,0,1,1,1,0,0
386,1,1,1,1,1,1
387,0,0,1,0,1,1
388,1,1,0,1,1,1
389,1,1,1,0,1,1
390,1,1,1,1,1,1
391,0,0,1,0,0,0
392,0,0,1,0,0,0
393,0,0,0,0,1,0
394,0,0,1,0,1,1
395,0,0,0,0,1,0
396,1,1,1,0,0,1
397,1,1,1,0,0,1
398,0,0,1,0,0,1
399,1,0,1,0,0,1
400,0,0,1,0,1,0
401,0,0,1,0,0,0
402,1,1,1,1,1,1
403,1,0,1,1,1,1
404,1,0,1,0,0,1
405,0,1,1,1,0,0
406,1,1,0,0,0,0
407,1,1,1,1,1,1
408,0,0,0,0,1,1
409,0,1,1,1,0,0
410,0,0,0,0,1,1
411,0,0,1,0,0,1
412,0,0,1,0,0,0
413,0,0,1,0,0,1
414,0,0,1,0,1,0
415,0,1,0,0,1,0
416,0,0,1,0,0,1
417,0,0,1,0,1,1
418,0,0,1,0,1,0
419,0,1,1,0,1,0
420,0,0,1,0,0,0
421,0,0,1,0,0,1
422,0,1,1,0,0,1
423,0,0,1,0,0,1
424,0,0,0,0,1,0
425,1,0,1,0,1,0
426,0,0,1,0,1,0
427,0,0,1,0,1,1
428,0,0,1,0,1,1
429,0,0,0,0,1,1
430,0,0,1,0,0,1
431,0,0,1,0,1,1
432,0,0,1,0,0,1
433,0,0,1,0,1,0
434,1,1,0,0,1,1
435,1,0,1,1,1,1
436,0,1,1,0,0,1
437,0,0,0,0,1,0
438,1,1,1,1,0,1
439,0,0,0,0,0,0
440,0,1,1,1,0,1
441,0,1,1,0,1,1
442,1,1,0,0,0,0
443,0,0,1,0,0,1
444,0,0,0,0,1,0
445,1,0,0,0,1,0
446,0,0,1,0,0,0
447,0,0,0,0,0,0
448,0,0,1,0,1,1
449,0,0,1,0,0,1
450,0,0,1,1,1,1
451,0,0,0,0,0,0
452,1,1,0,0,0,0
453,0,0,1,1,0,1
454,0,0,1,0,0,0
455,0,0,0,0,1,1
456,0,1,1,0,0,0
457,0,0,0,0,0,0
458,0,0,0,0,0,0
459,0,0,1,0,1,0
460,0,0,1,1,0,1
461,0,0,0,0,0,0
462,0,1,1,0,0,1
463,0,0,0,0,0,1
464,1,1,1,1,1,1
465,1,1,1,1,1,1
466,0,0,1,0,1,1
467,0,1,1,0,1,1
468,0,0,1,0,0,0
469,0,0,1,1,0,1
470,0,0,1,0,1,1
471,0,1,0,1,1,1
472,1,1,1,1,0,1
473,0,0,1,0,0,1
474,0,0,0,0,0,0
475,1,1,1,1,1,1
476,0,0,0,0,0,0
477,0,1,0,0,1,1
478,0,0,1,0,0,1
479,0,1,1,1,0,1
480,1,1,1,1,1,1
481,1,1,1,1,0,0
482,0,1,1,1,1,1
483,0,0,1,0,0,1
484,0,0,0,1,0,0
485,0,0,1,0,0,1
486,0,0,1,0,1,1
487,0,0,1,0,1,1
488,0,1,0,1,0,0
489,1,0,0,0,1,0
490,0,0,1,0,1,0
491,0,1,0,0,1,0
492,0,0,1,1,0,1
493,0,0,0,0,1,1
494,0,0,0,0,1,0
495,0,0,0,0,0,0
496,0,1,0,1,0,0
