,crt,rme,demo,iter,diff-crt,num-crt-matches,diff-rme,num-rme-matches
17,6lHK2ghAQ1IVasj7U1ZZRyTCrspZqxfj,mkhanp2Qt4QZyVv2ZVcICH6ndoR6Y_qr,WK3sd1PG7MqOSFYd59idlKDI5PBWIj8N,1,0.022,1,0.0,1
18,8QB6BI87DznlbJY57JqJZKYnhsePtwpM,m3t_vF82J4xdM9aN6Tre33IeaM3hAYu4,stxoDDadow9KbI_GbPt86f3QteCuQQup,1,0.593,1,0.0,1
19,hfYDgA0-0QSnfoz0qyq8dx2vDBaxEKla,S69q007pPnJVVOCBUyaDSlox7JMPg1tr,JaQbTnV0JIso3HNxnPukAV50Brfcyyb3,1,0.109,1,0.0,1
20,qkFGrbEyJf9djAzI9yEdDB2J0DLN4D7P,FamHj6NiBuLS-K9vzCeXRZxdXooUxOO4,8UwBSzB3S2uhJc0Y9JEeSPlsRHqjNQqI,1,0.063,1,0.0,2
21,l-YnNl_k0rW6THpOXqAvg3ic__iChGa7,fznPpDCRbmOTwPQ9rigQ56XOYdOuYwkf,sF4l5UuPQZJXKY_Pi89wPxCa7QtZeyP3,1,0.196,1,0.0,1
22,LfY2KCU1itgYWRZdJqreqcOJeNuUrWOJ,Z23u7VblTyYI5XiHiS1TM0rW1rQpwytN,uAdKzHMRx4vrysCeojeCsOmWzumEwSpn,1,0.606,1,0.0,1
23,M3485Fe-BvvMgx8mU4LA1ALoTkmGVMsx,IGaCxAywZ7rajFYwqXxiIKJOBMtFNNHj,cjmqIl7pnl-Zgvri-iWMNcyT8ZFTIXCg,1,0.642,1,0.0,1
24,ln13RD4T6Fn580qPaqP5nZp7Ry1ZPrD8,f5BEG4_8qo3NSTjEkH2BAThzkSYo-DNt,3ZAeHltJD-XPTu6siE65FWcus01jwAK4,1,0.588,1,0.0,1
25,Q93RuMkCf7zHBfyf9gzHSIiD_sLMs4IB,iTolJaiyh5V15LhPMyP-8sub6dibSRD5,AJfJRW08mlbWN0pRQBRcwsE4njWkQCtv,1,0.638,2,0.0,2
26,XETM8JXvxAwRWldoe0S8TM9rcX-98blZ,xHsJK9laRqTtIg_htUfCYOIpMDUSuNOV,bMBUEy7Gzypd5RbdqiD88d2ZcbkUgzDN,1,0.64,1,0.0,1
27,-w5BnQAFCNyuD8GNcxtiSzmnYMxviOu6,Zdedqqdg22wtiZg3iEepR2gE3oftRicU,tGJa0ggk1f3k-Wg3zjAIBrLdJJHHhZwH,1,0.304,1,0.0,1
28,6cApwIO5Dt_zdvQfAntU2_3lTlppanQ9,1lsp5QysvtuBugz37RtiZY5gesQHQQ5X,coXbnmn-akZmgG_D0sE_sNI8J39mtzjR,1,0.409,1,0.0,1
29,HNucs4awfeyVRvSLL27OhLLXYpko9xFM,UGKJTdtYqBf2Jhp6I1bkQByi41luqKtU,TjUUEnyRd22eXueiasslrK93NTEVX7qB,1,0.133,4,0.0,4
30,H7yJTpWgPMT3EkHXrrhMdYDe3lVGryAp,9OlZOLDeUnDiXHThI8EdnODpuMiaxSqg,4tL7M1O9lRk62-ItA-tmFn7v1UA-WH-X,1,0.162,4,0.0,4
31,mak33pEbEIjUM0RaWKlOH_XKOGGlSNIV,xCuoLy6vWWg_MEqXMLLUH17LkYpuh9A-,ez2GAYMPQVQZTbzJ97qblxfnvL1z2w4M,1,0.053,3,0.001,4
32,eoxj7if_1H-Wjk6EYSisAJq7IeWJ6GlK,qdsiDenrhNEHW_NROOiytMb2d3p-aOw1,RNV3QcVuWHLyKvc2wq8jfYtRT5tI3md-,1,0.409,2,0.001,1
33,FhA8Ea46jDX4ZAveABk5sph1Od8LPkNK,4zMl3ZWdB1SCItx4XZVLEjrzecyhdNCp,Ad-ANlfmi7tHN5A-LuHpRNWH-bVmNj-4,1,0.317,3,0.001,4
34,oi1aX1B1SfjzqgT-3y-sZGuxfyBnUpmA,ouU1-m2TYGXOJFZ5o_ZR69nhuLksYk-F,k62YnbWTT0ZmywhPXjdBK9KxZ19yB_gQ,1,0.091,1,0.001,1
35,DvZRlqE-e8LOV7wmMnA1uVTPwAJMZCQj,zcVMJ-7YQdCLi4bb2u5WlJ34B78cAQQX,VguYSyJYVJGhBJLWsZI43W9oi5iokEd1,1,0.091,1,0.001,1
36,qMZdfqjroIN2msjIrZDKD1pGZrFPZ2OU,iCoYvB1cKcPPaiQQ9_zvsaZ9p_w5YnGi,IX2AsCdDb6RmDrYM6Rkv30H4AyPH1GtP,1,0.307,1,0.001,1
37,83xFjRdPab_EmEKYs6jhLwwUR7QHza84,obrQOgljBjetIWkVqhO-A9p5YqXPM6pt,vG98H1D6KpM7_kNjsIkv_QZvkB6PhDO9,1,0.007,4,0.001,5
38,zHUCDl8Y0CGkWFS4RpCOllc_3DAYIEpn,bLXGdgqZaMInTVzsk1fDrLX5KfJwzvBO,P_aKQwRHITjnpMbMg3hGIHwdDQmK4tht,1,0.517,1,0.001,1
39,xaUhI1wEsaCRQy-us54siYrRiHAvWJPm,-dBBu4gvSPibZYEkzQ_gxr1ubDQAcLJf,bSy8zsplXtSE-mCFWm7F_yQrd8HAETxP,1,0.38,1,0.001,1
40,L1wMTB_npoQMZsQ_1xEGm2PCCqyk_YE1,yJf7n2xo1gUEgxjMf9c3qb-kaMPvYrAX,LParXOFZSwAgUQB7ThWpUJPHyOWeCoeA,1,0.056,1,0.001,1
41,1YYeTxAqAdd6lZe0Yd1eQXhFI6NW08y1,VLwqG1BzW4MdJJUn-csImWYRkeFCtwJQ,9sdPjKVOwfl0gnn54hzlxerZiKww86Pr,1,0.017,2,0.001,2
42,qMX6ZuLywW8zb9HoWQ01h68kRAWs8mOY,vQoCQq2lObaz5iChYJ1wrMBobQB2tKPh,GEOzIZSpwDzV6XFT7hpiGSZh4I2zFkaj,1,0.011,4,0.001,3
43,-9A2lgdJF61xaHWq6gdARYlQMSxaqIhv,7Xv3fTHT2Zjq7YElEYK5uIrYn5aB2CQY,snd3wMWHd0Ftt42EgV_Slv05NIvLqRHs,1,0.448,2,0.001,2
44,TiNl3BRX7-zcbpvm_R6ghFD0Q-jVj-VI,CG7qWALhggMEH5M9CpgB2lsFf9ITe1il,igOm1QKk_S3UL9OSl0A_x1qZtOip1zOj,1,0.055,1,0.001,1
45,B_zpL1Qoz-skIFCkOPE70RfJrLqXDPMZ,HP1FJECRUAIOd7CEE9MvpJN401WOzh2j,Kfc0A1ytRDAznqQuCJaWQos76XTFN5Vj,1,0.235,1,0.001,1
46,F0ZG87UPf3mQmsD5pyBrEgJNxbZ06CIj,4maOf2htydWAXNaC5pENciKIxoOYbT9t,ExrjljI37_t7Y30BnvShy5ttb2K1FK5d,1,0.083,3,0.001,3
47,nx3g8O2eIBq5J2R-N-qetE0lHBZ746ym,120AtsdXCwhhN1eXXQLHmzS3YVIHB09V,Au0L8nR1yLvdlAyuwy6YoD-WGEVmrc9u,1,0.41,1,0.001,1
48,eLesZBrrybNfTzfNDeTrd-NmDhpAcap2,AoONpNlbSHoU-GwwdukFfaZA503gQbFr,1AG0TyAqrLOert8JjBKFEkLWiGDzQumT,1,0.368,3,0.001,3
49,fssz5WLxIgsSZ5ZANLYXx7rOD_S3-78b,C4Dkgj0kkzgDIpWpQ0-3sf4nk_TnbLcm,oHijgRibYMXP2og_gyIBHaT9AWKTnJhG,1,0.072,3,0.001,3
50,KT7BTR68txCE3mycTPXamvYs7bQMI6wO,J7wdM1zi0sKTHX36zgtUUPGvkV7kDbIe,aqWU4wVZtViFm2OZ8CRuG5hEZSg7Ze8m,1,0.026,3,0.001,3
51,YY5vGK50AOTUx19_nj2JGlM10Shcsl81,_9DacXTZef9GbL1cE2r8TMOFHkgI0e2q,ZSK7ElBHKIfJVLE-vpVHOdLofiS7lXln,1,0.344,1,0.001,1
52,3xUXOSWHzXbH01B1PxvUlMvf2QwMAeaK,VJQxgU-XliTHk12ogcpd6Tvr64dJ4vmF,NElXVDM6adPZTXSeAXeekjZcpF5zl_ea,1,0.249,1,0.001,1
53,FLITWwkKhiSLSVvIQkQ1IwJmImIJEQ5b,GPja1ZAE4H8Dl0_y_F5i5wJwllDv3eRO,NNKrU16D92Fzn40gMmivwOuHl4Lrkfld,1,0.049,1,0.001,2
54,72c6ZxaionZUjnBe9M7h4Hyha8CQCzYC,uNBDzkteJ68MsrRiH9ynU896yLqWD0h4,d3bExynm70BcsYYdjUk4A3HR9lx9BRrg,1,0.045,1,0.001,1
55,OvHfBZmUgeLXoeY35Y-FTZW-QsIkN5z3,zaJV0itU8Y7O5USjLxYKRP6f0BaOGX7C,BvEhQLxwLzxNijNRWw4v5wLLYmH-I5eE,1,0.214,1,0.001,1
56,k1AiwGZYUvfG5MK4rKOFafXeW9ON9wPa,M9EPTj3AgsdrgGpXWSIBSk3yTlkZ2RDk,1nZRnUgohVLUnymBfw2J_Y3aWp0g9KM8,1,0.003,4,0.001,4
57,qrGN3Z0QB4i9bty2N_Cl94dbeI7hzSGy,0IA8u-b-lBiB87ftdtz18hUt7OR2w5YA,xZNKolyUUzanV3TKg9XCSSseTNkEPgUA,1,0.029,5,0.001,6
58,ywPHTmp3Aw8I_KTRJNYFgSr4EuKG2zpP,8RdlQwH16Z0S0_crhYWtZoEHJbU4OAn9,DSK04WqYayjLM0CB8BlbLXMeHJXCPHmK,1,0.232,1,0.001,1
59,RToeVSFZ245Ka69VFt9HbvhiJOuqcRhR,Whak6ONX2Sio5fehAFDeHF-jMbkrx-M5,ErxAqBTQyTnnxBtwTDOLehhM3hCkCb3b,1,0.068,4,0.001,2
60,jd1_keNQlrxGeC1s2X7y-8o_VO_rOLEt,3vle_1KXLIVlwBL4K0dNKqksk_vTKpnX,aW52ylnflVsDW5qaIt2P4PnxxLFD5E4L,1,0.754,1,0.001,1
61,dDsjR4wopdJOfjgk33E8iIo7F8n7VEOU,7sb69HrPoetmNKSThdZfYYGpTj1OiYn7,wi1VrIrPQMyc2_MPdZzjnRFvaNG0MYgT,1,0.217,1,0.001,1
62,f6FXAhwZ9tv20Itj8ELpUf4iymLUZGiQ,rzEL8YZbTHNzhmZ4rmee0WiTmnrc5cdQ,AvHz3o_EX3S-zzN9FhPB_cYvujHrSfxS,1,0.842,1,0.001,1
63,01ZnPMim5u3CpOU1x0M6EjDzDPEXjw6Q,V71nJJPz9b4hDX30JfMNG8ithxEt3sn6,rnkPo5I9Ic7HB59PEg9HngSqGj3VwiJm,1,0.564,2,0.001,2
64,0vd0B-nZoe6EwwwHHauCjk97f6ytxLNF,wgJYLu-xzlJcqnBetNijPl92boawI3bg,-N_ME1rGSewZCNlHI9zxFSVRMeKHwI6y,1,0.406,1,0.001,1
65,XbTASaSh4uKaHZ6f2wpht8WgSqPbnxnH,xUFOyPwzHVMBw28en2D80-qUeZsZ5x5g,QJ9abLZc5zlMOfOCDoEs716zgtyJb_--,1,0.417,3,0.001,3
66,3mFY0hwN53h3zw84eTspiV1LITS4yLT3,uWFs9MfmApTKrBWb3Ttp5AkFweXNJfFT,D9rtsMsZmyR8WYMGrBUzmcmPIaCwR-kn,1,0.256,1,0.001,1
67,z16ulOetVIC6GgWEkD2K59xkkQBSkQr_,h-v7bvbJHOkqXzZK3Xqwm5R9QDnypyGm,CQhpSBCr2J3B1vhXMhilp3o5vH2UWc4a,1,0.013,2,0.001,2
68,iIvQqhpG9ncCFVv5gHrFkHYjujz7HwU7,XQGRpHuWDvookLmFCR-jsNTJXRqdPr0t,j2dtpKgqDuoNavom0Me8iSCP9HQtgvOT,1,0.039,2,0.001,2
69,FjJMMChthcvpcTBiLbIzVM4HVaOStf3U,1zsGxtbNvVp8O9CcQrTbA0plDzxgXXrj,UmFLjQg_PdGlihpK84AmJGdws-Iz48P4,1,0.997,1,0.001,1
70,M-G8IvYw6nlxFC8NO3ZqyGt0u2I2vnNp,9vbnho3rKxxD2ypeIDtpX8LvOI0lLlnL,19x1wkz7BuCGZAdIqSxX_OKbBNAs2KBj,1,0.418,1,0.001,1
71,f-SuNsxBg7InWhQfIs5IaHElYmt9-eki,r1pQRC7QxKSfECye_6GSyrTKz1ctjSpp,VsS2eleTLJM12T5YMBqq5jAAPOIY9QFG,1,0.013,1,0.001,1
72,F7Go77R8zyFh2yLoqac9CAMnOK0Ze8rD,HsrzhniiXLb4q0K1z2gPEIlB11mJ8Xqw,dYNYyxKZya-HHsCCjyWC6H8mFE__y33v,1,0.09,6,0.002,4
73,nngJCkhwLLi0wN8OVI8bX9Do4dXQJcWR,oFroohylz5zTVyH0Mp2Z4vXP3gWDckJf,WvYOXmTB6oVCLx1aBcIhe3ao1dBnWtCQ,1,0.11,4,0.002,3
74,lTPa1asQin4iACHpPbwxYeCNjc9g8ZSe,Xo0kSSWPnbCQK2kEkYT3oLaHoNArKxEs,fakbtyR-IRVC30P3qtx5DQMW2IZTAuDf,1,0.149,1,0.002,1
75,W08BRuHWhLkBgIF08eSablkO0YKV-ej7,htRbZ6K0UTwrzeiNJGR3KJv7prKIJTBA,7fCYRddxlo7MCEbdZnHN8rXWwpRV5epj,1,0.024,1,0.002,1
76,TdQELdMtady1kDtNGXGzlxRyvGtieUuQ,pkoEaNZ8gwG9QRzgbQ1tJ33G1pVd6ycs,4M5UAYk-RaWKofRLNOD7jl2a2ejHpQvs,1,0.126,1,0.002,2
77,H24x5uW74omFWCU4j5Md3nzzxiUcGIcJ,7wLc3tq7C5rUuYfyCFdi30MAEOJRkpr3,jPwJOHzPV1BEVwU9CJNfpp8Vlx8eZdOx,1,0.011,3,0.002,4
78,SpaKtb8Vx3d4prI80VZu-r_3iEJXoFWG,XAH8jGjw-KAcbu5ujvkXdUHQcDRekJrq,Di9Ayy3q_9IcjthEMcHNgRyHnLb4NxqO,1,0.051,4,0.002,5
79,5npTejBeZObNJRZj7qFdzRfqEgtAmKLr,Zn0DkrXTYEkr6YoCA60UfzNWUJvnzAfB,68UABWgoCA1J2PsGcaZpw8gM8CFjnLZ1,1,0.052,3,0.002,3
80,xosrrf5xww9HA90xMTSsJco8_mdeZlJ0,lr5Fw_vjQLQZKlRlM36iRDTJBcaER0FS,K6p8OK0VDCfBrAASfJ8fpyff06WpIZxK,1,0.2,2,0.002,2
81,Gg4ijErc4GwLfHfzjD3tmu7ID9_LKZUB,zCFHG8aIkd2uYVopc8GQ4VuN31a5wcCN,FTETr72-Ok8TsVCl52IwQe4LgRAj2iZl,1,0.4,1,0.002,1
82,JzlmnlCzKFXbrI0S2ubkur0VEM5TCvpQ,KYkZo3nHBFkDFIysaUuMD1mADIYE1xHv,DKWZVaZu0HL0kjVXmNSywBKUPbY7AcU5,1,0.492,1,0.002,1
83,bMl1EJ4vpyONmkruD9xpw_AlQFUKFxZE,Jj2j_g4Z-iCnSCL4XB2e1kpeLaYDDsxw,fSDo-ZrtB-S9CVTNWATAe4x56qc-bJFi,1,0.042,2,0.002,2
84,BDppfJ_30hL4t0bh7tlQ85Jutfhv_zfF,JCS0JBGFusTEdMlZAR-QTBYdm5-Qur9s,n3WlkX8e08Dc-j6BpoIJnWaaTJJj5YRB,1,0.427,1,0.002,1
85,NAiJb33SOr6LE3soiEegUijg6-ryJiaV,2gRCGcJDBGAO-7GJVQCm6vGwMv04QkBY,e5euB-WwlL6nemvBxxTe1hI426oqDzMU,1,0.229,3,0.002,3
86,WzCZ2XEzuJRM5sydh3AwQXDfWxdvFnPe,PovH-G5lsnIguAELGtbs2vAX-ryL_Xk8,daklkFMbFv45P3M9eUuErEeyVpiqsCvm,1,0.1,1,0.002,2
87,KrlQCRkjzGSw3mKjyr1ti_UG3duINV0J,x59QVxjLQFOXJZsUDVw_okvx0fZUmH6B,YQNZz-dCwDJWn0CBsvYHDjvzkPRonBne,1,0.108,6,0.002,4
88,JSWVIYFB9IgczfDuClIWGUpvbQ37YK2B,bWvs5LCfqoiSMKioDtUDrCfZEuavGhsg,5M955WhLeq2EbJpg4NS6VXibBXZvxTQx,1,0.102,2,0.002,2
89,vH6L_k1AvYV6WP8oYefK2Scakq2PfiTc,2v6Dpd8cVNoqcjdiW1LzcSTf536r6dqR,eoKYMEsOti6lTl-707qAGCxjTObtD2h2,1,0.12,1,0.002,1
90,5rmgBpkSao_d29qnvitHdx-lkuyBvFZv,EBUrrwJ7lL6cObhdaH1su_jxoEpATZkV,i5x5flGMfoYKrMLn5tgIOXr0hW4Je-TK,1,0.261,3,0.002,3
91,RH8zTxCKEpmjLT9gwvy7BaY9qyvb8zLh,U6GvSDzbnaISq8JuTx_f152BX-YzH0q8,546uO-KivN4wpBplMkcJ_gI8mFhW5BxO,1,0.292,2,0.002,2
92,CQi-KX-69HiMGjGWQRpemNmj6eDnHK7B,Fq5N6nsamWBTBSkim9aeaYJRpDd_Rvoi,EvHPUxAqKSH_gqObx_Cy1syzpPnk18Nj,1,0.273,2,0.002,1
93,9g4zhhFbU8CV-koX3-I4MPU8kE0C3eYQ,KmuX2j5E6z5YQnUrsiU7js6vE_MsU7a2,Vqd_Wme22yBhYR4QzSxdoIZuCPqgP_76,1,0.215,1,0.002,1
94,rEehGhJk30f0sUvp4lSigaqz51RAvKaM,URhnGIK5poTgsjyULcE2qR7QH6f_GrwN,NwoNUAP1_arlyZDu4fwegxV3Nmvo3Ly8,1,0.584,1,0.002,1
95,Zol73UFoyU6u-wwTxznTl-_5o_JS0_EM,BZzGji0th6WAN5MIMka6XIIA1Ri8BjwC,P7L0zT9c2uqoGD-OWSs0zJ0f7AMO_Vby,1,0.326,1,0.002,2
96,r6P2TA54FvzD3qkHKOQhD6hfw1hndbRq,zPfYLmt-gLTLzebO38CvivqUuydzEZKE,k51RMBP3wQ8Fuq_O0oW1ncMMLj2i-kKe,1,0.047,2,0.002,1
97,QGO5mt-KwuVGafOJoa1sENiXhGgdjViU,-qzEXXWlWr8sRr7yVOts5CiivVLWhHD9,o0aB_niehI4Z17wKNINmWz2EgCo1BdFc,1,0.553,1,0.002,2
98,TsIDiltrrbuUbV24JSoqza3YztnZOzoO,jShu4jeXAL_ey4BxOpSfFHTkS7rhAFYQ,c381p_zFIBdiuDDpJ9rQQcuTTisF0SCV,1,0.075,3,0.002,4
99,k9RzOZg9WAaBFKfYnXRcYf2H8o8oEIYJ,1ITe54_71a8uyWb_Hy8pG44gj8cUH2Yx,g6H8g7hLwtXUhgzSpBMZZUS2YJSW9W7a,1,0.295,2,0.002,2
100,_vuNfApZRjFibeieUTqk3o3kO3c0p3qp,rgQWEZc0rAgbCcBhCpV3_QoHnTPm_jm9,3YIM6TTHsI7QvnWGemY4-28jSQegT0nh,1,0.348,1,0.002,1
101,nfKVE8A1L8KmKfPgzbQcx1qI_XJZFgra,GWiFHi2uvoSzEU6PLltUheyUIODaR9zz,1M7q2PEbjQJ533KdFECZHGjuvaAX_QQQ,1,0.057,2,0.002,2
102,tjWkDIDq4S1210gPt4MvqxW62YDQFEwm,4lrTxQNL09pjd0c8P_5Q0L0RYb8DcDeC,U9adml-c6dL-bPcEhE04j-_p9Qx79Tq5,1,0.312,1,0.002,1
103,zYQ5SVIDX28dMk9bXeWoPi3Yakij_3FN,zUBssWC0P4m6SoFffcWwcMBD8ZWormiI,102KztWnT6H8KGdWgqQkwyhZOrJcB9zZ,1,0.004,2,0.002,3
104,kASSaJaUOlf-RJUAV6fMGaeB7AD8bSpe,yW_WXS21UGapf1ugIVKcKWIwI06WxlwM,Y0vuQgaLp8HN2CL2Rpyz3GzeRT6raaXy,1,0.161,2,0.002,2
105,7Vob0NSzFAwBzidH69tWDlG6Dt6IXXOO,oXyuG6cb2W4LPqghhDBr3jVm_RyBIUIw,yzL7MXMGv8ToCqRINqaKy7PBYHxqIVq1,1,0.079,2,0.002,1
106,w157OTFIoHvezqreYyxCX8liFoUwsP4l,E13C4KhbRijl_c7WWNjZikrCQVsF81kB,JIXk5jZrsuGkSkYfwGIp_jsVaa1Nm_Bq,1,0.022,6,0.002,6
107,WE9b7dJiHG_iln1b1McQCXiEwm1_E0LK,tbGzNV5c4oAhZkHUNfYIlcWvKONjkMXc,CmMNefH4LkP6wZKu3H9HtDRfUTFSaehU,1,0.143,3,0.002,3
108,T0ETBLCEKkKSLhKZTe6rh47ijpyBKjo-,2oL1B7oUnBXoHQdn8wYj1tnmH0m0l5Ue,hqZI37JzwSMNjMoou0fbaUZ7g7qzSM13,1,0.055,6,0.002,4
109,FJxt_F6TWt3o0QZ-L24tQYAsED1ZhO-Q,QiqXBVivokR_EOYuuhdhu6WWUQS1i2tu,YAJd0Gb0dSUILICmUn_MTsPzw4CbmIxw,1,0.136,4,0.002,4
110,ok9xnntDDdg98GM_DQkeKvYcmfmICDf0,_uPiZRCfOZIPcjNUPZk5dgpN6DMh6yEN,TjIO5usOzwldnHeq4UUjhvduTy4JGAvc,1,0.467,1,0.002,1
111,-HseJwuDS_T_fQxZFOeOLSa6DuuCZrXt,Pzd2W1c75cXg-tcoelVx92BFmj_jT--f,L3O-ZrI1ipG07NIEwxE_aDaNRraxFcGO,1,1.066,1,0.002,1
112,-5GC0aOc6Ux1U2AI0gp4eeGqh0-sOPi_,YiV7A0n2g14eXBqaGXaGaxQri74gty_W,073YB55nF3gQPcz2sB_Zk6Rmy0RI9Ukw,1,0.829,1,0.002,1
113,VkmoeR2ngqyPdlgmzcJ35lgbx9A1oXYF,qpiwZPoab71GUaxRlvp6rdaQQPpmCRgq,q_rtH5HpkGZL0Ipog1noXOf9LpD0bJfN,1,0.582,1,0.002,1
114,NAf87ES5WpQZuQP38OuHf5JqGId3eeJX,q0zldyOeBcRYJQpccg7-lEShbu65luyC,JZS_boZ_8R3yCNnJuqFD9Z3gmMmMb42F,1,0.186,2,0.003,2
115,PQgdoYo6qFOH0karw4HLvDFvOmkjvezg,LftZmrWYyoWH5F9lP0Rn33J9_1RzH5NS,8Vy7PhShxGQNIb9DivZIJqMXWDt_N9f0,1,0.496,1,0.003,1
116,aGoYyhkx4TahP44o8r-CHzRG_J-UEzOP,7HoaHlPMhJ6HHuz8WSnPR8uFrfR_JJaK,Rc6uh0WS0oKDOLCOgjcUgg7egztq6feL,1,0.027,2,0.003,3
117,LeJrE6d7uYNlxNRckej4fhkt5_HlfOc_,ONHAsZO9EuGNoxq4gUNzEO9a5mlHHF9M,bUTLokZQnYlrHv2BJW2rzlkfGNUbzMsq,1,0.733,1,0.003,1
118,JPB8BVS02qTZx53TWJ_pnWl88D2PuJRP,8U5Xg1DRMuHzEgeayCpJkmCb2jYPDh5Y,_VSc2P9znojpoaXfHHGbE4pzz2aKvcKL,1,0.025,2,0.003,2
119,rl00Cf68leRx1p9JdpPvfvQMXflE80y0,koA3laW4XJfT4QMo2idkYtyVr92IJHsA,n1UNWSqOCpEozbICdmkLbVylVX7YWxT6,1,0.123,4,0.003,4
120,cmaHoTTv8HotDWHYGzomze2vvPQic8hw,q0V4x9OIFjMQ6ZPLffXtPnGiYfRc8uAL,HBhKTxL2u7DhoYFyl7kvlgp8J8l2imKL,1,0.121,1,0.003,1
121,iS7DbmO1XbBDx59gvFmsaZ1xcgTyYggb,yNrxxyWLrThar7nKkHhrkMr3Ap-jc_qY,2jwfo_79VaHmAOGlk4zc5ue2vggL3H75,1,0.181,1,0.003,1
122,aueQ2TpbrMEEhG-2yS3dwNjHDaI7_5rM,myZ-Tg_0Czwtd-Y2BeCbFLBLqa91rpG8,3ZGQ2i3JBbSmP1LFvSQ-oTMbzw_BMy_o,1,0.786,1,0.003,1
123,4rqyhVO_gGhGsLsRFN8C_PhlWOhSj3IH,FhavydW-siCU4FxJyzv4VzZY1imcpw7N,1Wi3xpWESOoBKhQ5ShekNas51922PdqT,1,0.036,1,0.003,1
124,Og4Xvklrn7a-T56CAre4IjXtAVaRhAHj,J_-nBwmZ4TLewbzgPBCL5MkE7qQu4PE7,Rtji6Tfp1QJ7hSeI1vnzOdtkkSLWw1Bu,1,0.193,2,0.003,4
