,crt,rme,demo,iter,diff-crt,num-crt-matches,diff-rme,num-rme-matches
0,YLqxCG9UA026MLJQAvjKTQcH46Rsc9zk,wU8ltaKBp-zlVnhPnUUJXjoEpy5q1XTV,7mffIt-QOeTfvzV0aKHjWkWfnBoPPBfs,1,0.199,1,0.0,1
1,bNnaPznsmY5Wo6gpzc46F4tiA4rA9hxq,rI4VFywTAZgIv3RneAWkZZlSsjilQcLS,YoZUPdy2La2jH-wcq5Iue-xZL4OKdujO,1,0.026,6,0.0,5
2,pTtRZbYg6vBMy-Hc8TBJ-rGjl-1xmpwY,7kR3OPOJXjW2RAo6w5ABe_yvr3VCh4yt,bZwLOjxZgdcylBd1vsnWnWmkh7c9yWoc,1,0.008,1,0.0,1
3,6IxV9CKk7_KesSM-J7O08u9rdmYwndD6,p8IUtlmJo3c-1HacBrprmjnD4Nk2xAAd,1Galf1S0ZB4Tw7oegqsLdZ6SrjvlVG9Z,1,0.632,1,0.0,2
4,BPW6P2cBy09G4wq9sY75eTUWEbpLWqkL,iylx0EoatEbyyX1jeaJrm4d36fiKKPR8,F2FgXrakCsQVUyVKCpwO17RpZFIAqtuY,1,0.073,4,0.0,4
5,XTBnQhfPdjmrSCzg1edEhTH8SWZlU3Qg,eaKiG1XHQO8vW-2R2Fm-qNsrVpzK-hAF,ZqQ3ubdFYuN-Z5cXd_jdOltY96JKuCRp,1,0.959,1,0.0,1
6,uybrHhfOiSoshA6N2liuxXJtYvXxnC8m,ifwtTPIrN7rhHyc3U5dGH9P6X3qOqVGB,RGYfNETBIK6JkJVPTI1cof2QhHUlrS98,1,0.936,1,0.0,1
7,gOe3X47JxcaDVJRwDId0WzE1HrXz6hmN,Hw6sOt7QxcAq07YIvKFX1mvglketD7Pi,4fF7sIPxxMaSDWlCG97yShTj_c3-3JQt,1,0.757,1,0.0,1
8,42wzz_KcywX2txg8gQpEtnzu1bNluhjI,cZQzOuAn8yhewDPCZJQvh4Ftugba6lbV,kdmt__ESSrUZVOEmP3nfguGAZ-FzmBmd,1,0.788,1,0.0,1
9,6SAp7iTg_tsaum-op9Ktl1uiyJp05G7M,8xpiALrA30eyMJITGRV2J8tNqXmtJ2e9,_IyqOqAZ8ivVxUUZ5ZwEsJ4gOEUZDid9,1,0.038,1,0.0,1
10,oHCeHpL8LcvH06JgVq_8rtzNtKtU4U1I,pqnIH_luy6jSga6fgf0YNRD7eOSl5A9w,9-TBeR2p1ySsiqp40muFtfJJqqejYeKW,1,0.525,1,0.0,1
11,m6P9G2jQ5FwyIRHWmVU747BFATTvQnN8,dIEqRWLGKDJw83VnA6lEHyeUTyP1_wld,21-lE05Y68T6PB3pbm5nkvYz27tOxecs,1,0.094,3,0.0,3
12,uArlPMiT0HJZFqw6DTf5-YFNddUCa6SV,lklSQJbXjVxCPEpOwwL6swHyhnbX2ekK,LgIihz6kyvqWd-G0lg3TPqbw38kccjOg,1,0.148,2,0.0,2
13,pbGQmeU8poVP7QyVkrlGCOWTEWFQk0bg,6tKoU_DI_1G0s4MEUCMiWdzCykWOqW8L,K8ugoLOzdye-WdijuyheVqJndcOb4gaW,1,0.154,3,0.0,2
14,quhg6qWbvcMfkl1Pgzeq5FfsZefiTu1t,U2mP_gb2ql72Y9L47uq8diwmeGBR5UiD,O2U8S49WoR9RGQpAN6NCMwhZMYgDtF-q,1,0.517,1,0.0,1
15,THAJJb_nO_QVyBR6A4RYTzVwEmbw5r3u,oPP_LRSPzyf4sY3FxGLrXkBoDUwgWzk6,SDGek67TKqFLKSRJv492NfvY88ZHu--g,1,0.078,3,0.0,3
16,_b6MYVvkm10JBV7DYZKD3vEnzvVAkS2W,LR6ForVVCTt7z4Ah0v0aTqh_cJnpPyqG,uYD62_V8rzjfdibtBdCX5ZYhd_o3C4VZ,1,0.686,2,0.0,2
