statementId,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burundi,Cambodia,Canada,Chad,China,Colombia,Congo,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Dominica,Dominican Republic,Egypt,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gambia,Georgia,Germany,Greece,Guyana,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Laos,Latvia,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Monaco,Morocco,Netherlands,New Zealand,Nicaragua,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saint Lucia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Taiwan,Tanzania,Thailand,Trinidad and Tobago,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Vatican City,Vietnam,item1
8860,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,19,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,689,93,0,0,0,3
8861,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,19,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,694,92,0,0,0,3
8862,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,18,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,692,95,0,0,0,3
8863,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,18,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,697,94,0,0,0,3
8864,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,1,0,19,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,2,692,93,0,0,0,3
8865,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,10,0,0,8,0,0,0,4,1,0,0,19,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,694,96,0,0,0,3
8866,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,19,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,692,94,0,0,0,3
8867,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,18,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,692,93,0,0,0,3
8868,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,19,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,692,92,0,0,0,3
8869,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,18,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,695,94,0,0,0,3
8870,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,10,0,0,8,0,0,0,4,1,0,0,19,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,7,0,0,4,4,3,0,0,1,0,0,0,1,695,94,0,0,0,3
8871,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,18,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,690,93,0,0,0,3
8872,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,18,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,0,1,6,0,0,4,5,3,0,0,1,0,0,0,1,693,93,0,0,0,3
8873,0,0,0,0,1,0,0,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,4,1,0,0,19,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,5,0,0,1,6,0,0,4,4,3,0,0,1,0,0,0,1,695,94,0,0,0,3
